"묻다","ask","/æsk/","묻다, 질문하다","May I ask you something?"
"대답하다","answer","/ˈænsər/","대답하다","Please answer my question."
"설명하다","explain","/ɪkˈspleɪn/","설명하다","Can you explain it again?"
"부르다","call","/kɔːl/","부르다","She called my name."
"외치다","shout","/ʃaʊt/","외치다","He shouted for help."
"약속하다","promise","/ˈprɑːmɪs/","약속하다","I promise to be there."
"소개하다","introduce","/ˌɪntrəˈduːs/","소개하다","Let me introduce my friend."
"초대하다","invite","/ɪnˈvaɪt/","초대하다","They invited us to dinner."
"축하하다","congratulate","/kənˈɡrætʃuleɪt/","축하하다","I want to congratulate you."
"사과하다","apologize","/əˈpɑːlədʒaɪz/","사과하다","He apologized for being late."
"칭찬하다","praise","/preɪz/","칭찬하다","The teacher praised her work."
"믿다","believe","/bɪˈliːv/","믿다","I believe in you."
"이해하다","understand","/ˌʌndərˈstænd/","이해하다","I understand your point."
"기억하다","remember","/rɪˈmembər/","기억하다","I remember that day well."
"잊다","forget","/fərˈɡet/","잊다","Do not forget your keys."
"결정하다","decide","/dɪˈsaɪd/","결정하다","We must decide today."
"선택하다","choose","/tʃuːz/","선택하다","Choose the one you like."
"준비하다","prepare","/prɪˈper/","준비하다","She prepared for the exam."
"계획하다","plan","/plæn/","계획하다","We planned the whole trip."
"시도하다","try","/traɪ/","시도하다","Let us try a new method."
"성공하다","succeed","/səkˈsiːd/","성공하다","She succeeded in the end."
"실패하다","fail","/feɪl/","실패하다","Do not be afraid to fail."
"포기하다","give up","/ɡɪv ʌp/","포기하다","Never give up on your dream."
"노력하다","try hard","/traɪ hɑːrd/","노력하다","He tries hard every day."
"연습하다","practice","/ˈpræktɪs/","연습하다","She practices the piano daily."
"참다","endure","/ɪnˈdʊr/","참다, 견디다","He endured the pain quietly."
"자라다","grow","/ɡroʊ/","자라다","Children grow up so fast."
"변하다","change","/tʃeɪndʒ/","변하다, 바뀌다","The weather changed suddenly."
"사라지다","disappear","/ˌdɪsəˈpɪr/","사라지다","The ship disappeared into the fog."
"나타나다","appear","/əˈpɪr/","나타나다","A rainbow appeared in the sky."
"남다","remain","/rɪˈmeɪn/","남다","Only a few remain."
"떨어지다","fall","/fɔːl/","떨어지다","Leaves fall in autumn."
"넘어지다","fall over","/fɔːl ˈoʊvər/","넘어지다","He tripped and fell over."
"미끄러지다","slip","/slɪp/","미끄러지다","She slipped on the ice."
"깨지다","break","/breɪk/","깨지다","The glass broke into pieces."
"고장나다","break down","/breɪk daʊn/","고장나다","My car broke down again."
"움직이다","move","/muːv/","움직이다","Do not move; stay still."
"멈추다","stop","/stɑːp/","멈추다","The bus stopped suddenly."
"흔들다","shake","/ʃeɪk/","흔들다","Shake the bottle well."
"돌다","turn","/tɜːrn/","돌다, 회전하다","The wheel turns slowly."
"접다","fold","/foʊld/","접다","Fold the paper in half."
"펴다","unfold","/ʌnˈfoʊld/","펴다, 펼치다","Unfold the map on the table."
"묶다","tie","/taɪ/","묶다","Tie your shoelaces."
"풀다","solve","/sɑːlv/","풀다 (문제를)","She solved the puzzle quickly."
"걸다","hang","/hæŋ/","걸다","Hang your coat on the hook."

"보이다","be seen","/biː siːn/","보이다","The stars can be seen tonight."
"들리다","be heard","/biː hɜːrd/","들리다","A strange sound was heard."
"느끼다","feel","/fiːl/","느끼다","I feel much better now."
"깨닫다","realize","/ˈriːəlaɪz/","깨닫다","She realized her mistake."
"상상하다","imagine","/ɪˈmædʒɪn/","상상하다","Imagine a peaceful world."
"바라다","hope","/hoʊp/","바라다","I hope you get well soon."
"기대하다","expect","/ɪkˈspekt/","기대하다","We expect good results."
"걱정하다","worry","/ˈwɜːri/","걱정하다","Do not worry about me."
"궁금하다","curious","/ˈkjʊriəs/","궁금하다","I am curious about your plan."
"놀라다","be surprised","/biː sərˈpraɪzd/","놀라다","We were surprised by the news."

"닦다","wipe","/waɪp/","닦다","Wipe the table clean."
"버리다","throw away","/θroʊ əˈweɪ/","버리다","Throw away the old papers."
"줍다","pick up","/pɪk ʌp/","줍다","She picked up the coin."
"정리하다","organize","/ˈɔːrɡənaɪz/","정리하다","I need to organize my desk."
"계산하다","calculate","/ˈkælkjuleɪt/","계산하다","Let me calculate the total."
"지불하다","pay","/peɪ/","지불하다","How would you like to pay?"
"빌리다","borrow","/ˈbɑːroʊ/","빌리다","May I borrow your pen?"
"빌려주다","lend","/lend/","빌려주다","Can you lend me some money?"
"돌려주다","return","/rɪˈtɜːrn/","돌려주다","Please return my book."
"나누다","share","/ʃer/","나누다","We shared the pizza."
"모으다","collect","/kəˈlekt/","모으다","He collects old coins."

"화나다","angry","/ˈæŋɡri/","화나다","She was angry at him."
"무섭다","scary","/ˈskeri/","무섭다","That movie was really scary."
"부끄럽다","shy","/ʃaɪ/","부끄럽다","The boy is very shy."
"외롭다","lonely","/ˈloʊnli/","외롭다","He felt lonely at night."
"그립다","miss","/mɪs/","그립다","I miss my hometown."
"부럽다","envious","/ˈenviəs/","부럽다","I am a little envious of you."
"귀엽다","cute","/kjuːt/","귀엽다","The puppy is so cute."
"멋있다","cool","/kuːl/","멋있다","Your new jacket looks cool."
"착하다","nice","/naɪs/","착하다, 마음씨 좋다","She is a nice and kind girl."
"친절하다","kind","/kaɪnd/","친절하다","The staff were very kind."
"정직하다","honest","/ˈɑːnɪst/","정직하다","He is an honest man."
"게으르다","lazy","/ˈleɪzi/","게으르다","Do not be lazy today."
"부지런하다","diligent","/ˈdɪlɪdʒənt/","부지런하다","She is a diligent worker."
"똑똑하다","smart","/smɑːrt/","똑똑하다","He is a smart student."
"용감하다","brave","/breɪv/","용감하다","The brave dog saved the child."
"슬프다","sad","/sæd/","슬프다","The ending was very sad."
"기쁘다","glad","/ɡlæd/","기쁘다","I am glad to see you."
"즐겁다","joyful","/ˈdʒɔɪfəl/","즐겁다","We had a joyful time."
"심심하다","bored","/bɔːrd/","심심하다","I am bored at home."
"불편하다","uncomfortable","/ʌnˈkʌmftərbəl/","불편하다","The seat is uncomfortable."

"세상","world","/wɜːrld/","세상","She wants to see the world."
"사회","society","/səˈsaɪəti/","사회","We live in a busy society."
"역사","history","/ˈhɪstəri/","역사","I love learning history."
"문화","culture","/ˈkʌltʃər/","문화","Korean culture is rich."
"과학","science","/ˈsaɪəns/","과학","Science explains the world."
"기술","technology","/tekˈnɑːlədʒi/","기술","New technology changes our lives."
"예술","art","/ɑːrt/","예술","She studies modern art."
"종교","religion","/rɪˈlɪdʒən/","종교","People follow many religions."
"정치","politics","/ˈpɑːlətɪks/","정치","He is interested in politics."
"경제","economy","/ɪˈkɑːnəmi/","경제","The economy is growing."
"법","law","/lɔː/","법","Everyone must follow the law."
"규칙","rule","/ruːl/","규칙","Please follow the rules."
"환경","environment","/ɪnˈvaɪrənmənt/","환경","We must protect the environment."
"지구","earth","/ɜːrθ/","지구","The earth goes around the sun."
"우주","universe","/ˈjuːnɪvɜːrs/","우주, 우주 공간","The universe is vast."
"국가","nation","/ˈneɪʃən/","국가, 나라","Many nations joined the meeting."
"정부","government","/ˈɡʌvərnmənt/","정부","The government made a new plan."
"대통령","president","/ˈprezɪdənt/","대통령","The president gave a speech."
"왕","king","/kɪŋ/","왕","The king ruled the land."
"여왕","queen","/kwiːn/","여왕","The queen wore a crown."
"전쟁","war","/wɔːr/","전쟁","The war lasted many years."
