"조경","landscaping","","경치를 아름답게 꾸밈.",""
"조교","assistant","","대학에서, 교수의 밑에서 연구와 사무를 돕는 직위. 또는 그 직위에 있는 사람.",""
"조교수","assistant professor","","대학교수 직위의 하나로, 부교수보다 아래, 전임 강사보다 위인 직위.",""
"조국","motherland","","조상 때부터 대대로 살던 나라.",""
"조국애","patriotism","","조국에 대한 사랑.",""
"조그마하다","small; tiny; little","","조금 작거나 적다.",""
"조그맣다","small; tiny; little","","조금 작거나 적다.",""
"조금","a little","","분량이나 정도가 적게.",""
"조금","a little; little","","적은 분량이나 적은 정도.",""
"조금씩","little by little","","적은 정도로 계속해서.",""
"조급증","impatience","","참을성 없이 몹시 급해하는 버릇이나 마음.",""
"조급하다","impatient","","참을성 없이 몹시 급하다.",""
"조급히","hurriedly","","참을성 없이 몹시 급하게.",""
"조기","croaker","","잿빛을 띤 은색으로 비늘이 크고 둥근 바닷물고기.",""
"조기","early morning","","아침 일찍 일어남.",""
"조기","early phase","","병이나 사건이 생긴 지 얼마 지나지 않은 이른 시기.",""
"조기","flag flown at half-mast; mourning flag","","죽은 사람에 대한 슬픔을 나타내기 위해 깃대 끝에서 깃발 폭만큼 내려서 다는 국기.",""
"조기","that place","","말하는 사람이나 듣는 사람으로부터 멀리 떨어져 있는 곳을 가리키는 말.",""
"조깅","jogging","","건강을 유지하기 위하여 천천히 달리는 운동.",""
"조까짓","little; small","","겨우 조만한 정도의.",""
"조깟","little; small","","겨우 조만한 정도의.",""
"조끼","vest","","윗옷에 덧입는, 소매가 없는 옷.",""
"조난","shipwreck; accident","","항해나 등산 중에 재난을 만남.",""
"조난당하다","be shipwrecked; be involved in an accident","","항해나 등산 중에 재난을 만나게 되다.",""
"조난자","shipwrecked person; person being trapped","","항해나 등산 중에 재난을 만난 사람.",""
"조난하다","be shipwrecked; be involved in an accident","","항해나 등산 중에 재난을 만나다.",""
"조달","procurement; raising","","필요한 돈이나 물건 등을 대어 줌.",""
"조달되다","be procured; be obtained","","필요한 돈이나 물건 등이 대어져 주어지다.",""
"조달청","the Public Procurement Service","","정부에서 쓰는 물건을 사서 각 부서에 나누어 주는 일을 하는 행정 기관.",""
"조달하다","earn; procure","","필요한 돈이나 물건 등을 대어 주다.",""
"조대로","as it is; as it stands","","변함없이 본래 있던 조 모양이나 상태와 같이.",""
"조도","luminous intensity","","일정한 면적이 일정한 시간 동안 받는 빛의 양.",""
"조동사","auxiliary verb","","본동사와 연결되어 그 뜻을 보충해 주는 동사.",""
"조따위","such","","(낮잡아 이르는 말로) 조러한 종류의.",""
"조따위","such a thing","","(낮잡아 이르는 말로) 조러한 종류의 대상을 가리키는 말.",""
"조락","falling","","풀잎이나 나뭇잎 등이 시들어 떨어짐.",""
"조락하다","fall","","풀잎이나 나뭇잎 등이 시들어 떨어지다.",""
"조랑말","pony","","몸집이 작은 품종의 말.",""
"조래","jorae","","'조리하여'가 줄어든 말.",""
"조래도","joraedo","","'조리하여도'가 줄어든 말.",""
"조래서","joraeseo","","'조리하여서'가 줄어든 말.",""
"조러고","joreogo","","'조리하고'가 줄어든 말.",""
"조러다","behave that way","","조렇게 하다.",""
"조러면","joreomyeon","","'조리하면'이 줄어든 말.",""
"조러하다","such; being like that","","(낮잡아 이르거나 귀엽게 이르는 말로) 상태, 모양, 성질 등이 저와 같다.",""
"조런","joreon","","'조리한'이 줄어든 말.",""
"조런","such; being like that","","상태, 모양, 성질 등이 조러한.",""
"조럼","joreom","","'조리하면'이 줄어든 말.",""
"조렇게","joreoke","","'조러하게'가 줄어든 말.",""
"조렇다","such; being like that","","(낮잡아 이르거나 귀엽게 이르는 말로) 상태, 모양, 성질 등이 저와 같다.",""
"조렇듯","joreoteut","","'조러하듯'이 줄어든 말.",""
"조렇듯이","jeoreoteusi","","'조러하듯이'가 줄어든 말.",""
"조렇지","joreochi","","'조러하지'가 줄어든 말.",""
"조력","help; support","","힘을 써 도와줌. 또는 그 힘.",""
"조력","tidal power","","바다의 밀물과 썰물의 높이 차이로 일어나는 힘.",""
"조력하다","help; support","","힘을 써 도와주다.",""
"조련","training","","군인으로서 전투에 필요한 것을 훈련함.",""
"조련사","animal trainer","","동물에게 재주를 가르치고 훈련시키는 사람.",""
"조련하다","train","","군인으로서 전투에 필요한 것을 훈련하다.",""
"조령모개","being capricious; caprice","","아침에 내린 명령을 저녁에 다시 고친다는 뜻으로, 법률이나 명령을 자주 고침.",""
"조례","day-start meeting","","학교에서, 수업을 시작하기 전에 담임 교사가 학생들에게 주의 사항이나 지시 사항 등을 전하는 아침 모임.",""
"조례","ordinance","","지방 자치 단체가 그 지방의 사무와 관련하여 지방 의회의 회의를 거쳐 정한 법.",""
"조로","progeria","","나이에 비해서 빨리 늙음.",""
"조로하다","look old for one's age; suffer from progeria","","나이에 비해서 빨리 늙다.",""
"조록조록","gently; softly","","비나 가는 물줄기 등이 빠르게 자꾸 내리거나 흐르는 소리 또는 모양.",""
"조롱","ridicule","","어떤 대상을 얕잡아 보고 비웃거나 놀림.",""
"조롱박","bottle gourd","","길쭉하고 가운데가 잘록한 모양의 박이 열리는 넝쿨 식물이나 그 열매.",""
"조롱조롱","in full bearing","","작은 열매 등이 많이 매달려 있는 모양.",""
"조롱하다","ridicule","","어떤 대상을 얕잡아 보고 비웃거나 놀리다.",""
"조루","premature ejaculation","","성관계를 맺을 때 남자의 사정이 너무 빨리 이루어지는 일.",""
"조루증","premature ejaculation","","성관계를 맺을 때 남자의 사정이 너무 빨리 이루어지는 병.",""
"조류","alga","","물속에 살면서 엽록소로 광합성을 하며, 꽃이 피지 않고 포자로 번식하는 식물.",""
"조류","tide","","밀물과 썰물 때문에 생기는 바닷물의 흐름.",""
"조르다","beg; pester","","누구에게 무엇을 해 달라고 자꾸 요구하다.",""
"조르다","suffocate; tighten","","둘러 묶거나 감은 것을 단단히 조이다.",""
"조르르","gently","","가는 물줄기 등이 빠르게 흘러내리는 소리. 또는 그 모양.",""
"조르륵","quickly","","가는 물줄기 등이 빠르게 잠깐 흐르다가 그치는 소리. 또는 그 모양.",""
"조리","away","","조 곳으로. 또는 조쪽으로.",""
"조리","care","","건강을 되찾도록 몸을 보살피거나 병을 낫게 함.",""
"조리","jori","","물에 담근 곡식에서 못 먹을 것을 가려 걷어 내는 데 쓰는 도구.",""
"조리","reason; logic","","말이나 글 또는 일이나 행동 등이 앞뒤가 맞고 논리적인 것.",""
"조리개","iris; iris diaphragm","","사진기에서 렌즈를 통과하는 빛의 양을 조절하는 장치.",""
"조리다","braise","","고기, 생선, 채소 등을 양념해서 국물이 거의 남지 않게 바짝 끓이다.",""
"조리대","cooking station","","음식을 만드는 데 쓰는 대.",""
"조리되다","be cooked","","재료가 이용되어 음식이 만들어지다.",""
"조리로","away","","(강조하는 말로) 조 곳으로. 또는 조쪽으로.",""
"조리법","recipe","","여러 가지 재료를 이용하여 음식을 만드는 방법.",""
"조리사","cook","","음식점에서 음식을 만드는 사람.",""
"조리실","kitchen","","음식을 만드는 방.",""
"조리용","cooking","","음식을 만드는 데 씀. 또는 그런 물건.",""
"조리하다","do that","","조렇게 하다.",""
"조리하다","take care of","","건강을 되찾도록 몸을 보살피거나 병을 낫게 하다.",""
"조림","braised dish","","고기, 생선, 채소 등을 양념해서 국물이 거의 남지 않게 바짝 끓여 만든 음식.",""
"조림","forestation","","나무를 심거나 씨를 뿌려 숲을 가꾸거나 새로 만듦.",""
"조립","assembly","","여러 부품을 일정한 방식으로 짜 맞추어 하나의 물건으로 만듦. 또는 그런 것.",""
"조립되다","be assembled","","여러 부품이 일정한 방식으로 짜 맞추어져 하나의 물건으로 만들어지다.",""
"조립식","assembly","","여러 부품을 짜 맞추어 하나의 물건으로 만드는 방식.",""
"조립품","assembled item","","여러 부품을 일정한 방식으로 짜 맞추어 만든 물건.",""
"조립하다","assemble","","여러 부품을 일정한 방식으로 짜 맞추어 하나의 물건으로 만들다.",""
"조마조마","nervously","","앞으로 닥칠 일이 걱정되어 마음이 초조하고 불안한 모양.",""
"조마조마하다","nervous","","앞으로 닥칠 일이 걱정되어 마음이 초조하고 불안하다.",""
"조막","being tiny","","(비유적으로) 주먹보다 작은 크기의 덩이.",""
"조만","such; like that","","상태, 모양, 성질 등이 조 정도의.",""
"조만간","soon","","머지않아 곧.",""
"조만치","that much","","조러한 정도. 또는 조만한 정도.",""
"조만큼","that much","","조러한 정도. 또는 조만한 정도.",""
"조만하다","that","","상태, 모양, 성질 등이 조 정도이다.",""
"조맘때","that time","","조 정도가 된 때나 무렵.",""
"조망","view","","먼 곳을 바라봄. 또는 먼 곳의 경치.",""
"조망하다","overlook","","먼 곳을 바라보다.",""
"조명","lighting","","빛을 비추어 밝게 보이게 함.",""
"조명되다","be lighted","","빛이 비추어져 밝게 보여지다.",""
"조명등","light","","빛을 비추어 밝게 보이게 하는 데 쓰는 등.",""
"조명하다","light","","빛을 비추어 밝게 보이게 하다.",""
"조모","grandmother","","아버지의 어머니, 또는 어머니의 어머니.",""
"조목","provision","","법률이나 규정 등의 각각의 부분.",""
"조목조목","detail","","각각의 항목.",""
"조목조목","one by one; in detail","","각각의 항목마다 다.",""
"조무래기","tiny one","","작고 시시한 물건.",""
"조문","eulogy","","죽은 사람이 살아 있을 때 한 좋은 일이나 업적을 칭찬하고, 죽은 뒤에도 복을 받기를 비는 글.",""
"조문","paying tribute","","초상집에 찾아가 애도의 뜻을 표현하여 상주를 위로함.",""
"조문객","funeral guest","","애도의 뜻을 나타내고 상주를 위로하러 초상집에 찾아온 사람.",""
"조문하다","pay tribute","","초상집에 찾아가 애도의 뜻을 표현하여 상주를 위로하다.",""
"조물주","the Creator; Creator","","이 세상의 모든 것을 만들고 다스리는 신.",""
"조미료","condiment","","음식의 맛을 내는 데 쓰는 재료.",""
"조밀하다","dense","","틈이나 간격, 사이 등이 매우 좁거나 작다.",""
"조바심","being anxious; anxiety","","조마조마하여 마음을 졸임. 또는 그렇게 졸이는 마음.",""
"조바심치다","be very anxious","","조마조마한 마음을 몹시 나타내다.",""
"조바심하다","be anxious","","조마조마하여 마음을 졸이다.",""
"조바위","jobawi","","여자가 겨울에 머리에 쓰는, 위는 열려 있고 귀와 뺨을 덮는 전통 모자.",""
"조반","breakfast","","아침에 먹는 밥.",""
"조변석개","being capricious; caprice","","아침에 바꾸고 저녁에 고친다는 뜻으로, 계획이나 결정을 일관성이 없이 자주 고침.",""
"조부","grandfather","","아버지의 아버지, 또는 어머니의 아버지.",""
"조부모","grandparents","","할아버지와 할머니.",""
"조사","eulogy","","죽은 사람을 슬퍼하고 생전의 업적을 기리기 위한 글이나 말.",""
